,train_score,sparsity_sc,sparsity_sp,sparsity_diff
plk2,0.8913175,0.09706411024565609,0.11728395061728392,0.02021984037162783
2010300c02rik,0.8907327,0.38387795547771586,0.12654320987654322,-0.25733474560117264
hivep2,0.8906925,0.0512513250679818,0.12345679012345678,0.07220546505547498
rogdi,0.8903153,0.03696363552564874,0.12345679012345678,0.08649315459780804
schip1,0.8899167,0.10531409872332576,0.12654320987654322,0.02122911115321746
rapgef4,0.88857853,0.023782089689818875,0.11728395061728392,0.09350186092746504
gng2,0.88818455,0.06475549615154164,0.11728395061728392,0.05252845446574228
mgll,0.8874991,0.09282389270406044,0.11419753086419748,0.021373638160137043
ifi27,0.8874065,0.49426187952251466,0.1635802469135802,-0.33068163260893446
lpgat1,0.8871,0.07526386136332208,0.13888888888888884,0.06362502752556676
egr1,0.8869854,0.25358344471585936,0.14197530864197527,-0.11160813607388409
r3hdm2,0.8858622,0.07600129050099091,0.1450617283950617,0.06906043789407079
apod,0.8856273,0.9039959441397428,0.23456790123456794,-0.6694280429051749
epha4,0.88540965,0.37756371848642667,0.1450617283950617,-0.23250199009136496
pfn1,0.8852916,0.005945522422454719,0.12654320987654322,0.1205976874540885
syt5,0.88521826,0.09153339171314001,0.13580246913580252,0.044269077422662506
chga,0.88505715,0.06710605152786098,0.1450617283950617,0.07795567686720073
satb1,0.8844501,0.25883762732174953,0.154320987654321,-0.10451663966742852
gaa,0.88442236,0.04650412499423884,0.13580246913580252,0.08929834414156368
kcnma1,0.8832959,0.08904456837350783,0.14814814814814814,0.059103579774640314
ogfrl1,0.8832958,0.054708024150804224,0.1450617283950617,0.09035370424425748
timp2,0.88205713,0.1436143245609992,0.12037037037037035,-0.023243954190628857
rph3a,0.88119733,0.11536157072406328,0.14197530864197527,0.026613737917911995
prkcg,0.8801662,0.26257086233119786,0.1635802469135802,-0.09899061541761767
laptm4a,0.8801499,0.007143844771166474,0.13271604938271608,0.1255722046115496
resp18,0.8787041,0.09904595105314096,0.1450617283950617,0.04601577734192075
gper1,0.8784588,0.9781536617965617,0.9506172839506173,-0.027536377845944426
atp2a3,0.87843275,0.9882933124395078,0.9660493827160493,-0.022243929723458455
calb1,0.87815267,0.5144029128450938,0.22530864197530864,-0.2890942708697851
scg2,0.87746125,0.06369544176614284,0.1450617283950617,0.08136628662891887
prdx6,0.8773224,0.12886574180762322,0.12037037037037035,-0.008495371437252874
sars,0.87723124,0.02525694796515643,0.14814814814814814,0.12289120018299171
csrp1,0.87630695,0.7327280269161636,0.1820987654320988,-0.5506292614840648
mpped1,0.8761227,0.22311840346591694,0.16666666666666663,-0.05645173679925031
mt2,0.87587154,0.7710743420749413,0.20370370370370372,-0.5673706383712376
golga7b,0.87451065,0.15979167626860857,0.15123456790123457,-0.008557108367374
