,train_score,sparsity_sc,sparsity_sp,sparsity_diff
hivep2,0.8028622,0.0512513250679818,0.12345679012345678,0.07220546505547498
lrrc4c,0.8018335,0.1065585103931419,0.1635802469135802,0.05702173652043829
sez6l,0.80182606,0.1929759874637047,0.16049382716049387,-0.03248216030321083
gpr37l1,0.8017003,0.9357053970595013,0.0864197530864198,-0.8492856439730815
sst,0.80154777,0.6428538507627783,0.06481481481481477,-0.5780390359479636
prdx6,0.80119985,0.12886574180762322,0.12037037037037035,-0.008495371437252874
rogdi,0.8000286,0.03696363552564874,0.12345679012345678,0.08649315459780804
acsl3,0.79984945,0.0820389915656542,0.14197530864197527,0.05993631707632108
sars,0.7988658,0.02525694796515643,0.14814814814814814,0.12289120018299171
dync1i1,0.7982068,0.06314236991289124,0.17592592592592593,0.11278355601303469
apod,0.7980473,0.9039959441397428,0.23456790123456794,-0.6694280429051749
plk2,0.7980203,0.09706411024565609,0.11728395061728392,0.02021984037162783
dnm3,0.79781765,0.053740148407613986,0.16049382716049387,0.10675367875287989
syt5,0.7972806,0.09153339171314001,0.13580246913580252,0.044269077422662506
cryab,0.7972764,0.4582200304189519,0.20679012345679015,-0.2514299069621617
mt2,0.796996,0.7710743420749413,0.20370370370370372,-0.5673706383712376
gstm1,0.79477346,0.707010185739964,0.16975308641975306,-0.5372570993202109
rapgef4,0.794639,0.023782089689818875,0.11728395061728392,0.09350186092746504
srcin1,0.7944997,0.07268285938148134,0.16666666666666663,0.0939838072851853
kcnc1,0.79387,0.18076231737106507,0.16666666666666663,-0.014095650704398444
sec14l1,0.7931322,0.12748306217449412,0.154320987654321,0.026837925479826885
rims3,0.79179436,0.23832787943033595,0.2006172839506173,-0.03771059547971867
s100a1,0.7917443,0.8040282066645158,0.18518518518518523,-0.6188430214793306
shisa4,0.7906601,0.06779739134442553,0.15740740740740744,0.08961001606298191
laptm4b,0.7901669,0.09144121307093145,0.18827160493827155,0.0968303918673401
s100b,0.789677,0.7391344425496613,0.24691358024691357,-0.49222086230274775
tyro3,0.7891643,0.39885698483661336,0.1728395061728395,-0.22601747866377386
ociad2,0.78854066,0.148499792598055,0.14814814814814814,-0.0003516444499068738
rprml,0.7884698,0.4027745771304788,0.191358024691358,-0.21141655243912083
actr3b,0.7876404,0.12010877079780613,0.1820987654320988,0.06198999463429267
olig1,0.7871747,0.9517905701249021,0.2685185185185185,-0.6832720516063836
ahi1,0.78708035,0.03783933262663042,0.154320987654321,0.11648165502769059
syne1,0.7852229,0.023828179010923156,0.1635802469135802,0.13975206790265704
car10,0.78510046,0.3039129833617551,0.191358024691358,-0.11255495867039711
gaa,0.7840509,0.04650412499423884,0.13580246913580252,0.08929834414156368
rph3a,0.783973,0.11536157072406328,0.14197530864197527,0.026613737917911995
atf4,0.78383166,0.0288980043323962,0.19753086419753085,0.16863285986513465
nfib,0.7824944,0.23136839194358672,0.2407407407407407,0.009372348797153984
crym,0.78172266,0.7013411992441352,0.3641975308641975,-0.3371436683799377
car2,0.78156316,0.7287182559800894,0.15123456790123457,-0.5774836880788549
lmod1,0.78142434,0.960685809098032,0.9938271604938271,0.033141351395795104
anapc11,0.7809808,0.01465640411116742,0.1820987654320988,0.16744236132093138
fam107a,0.7809427,0.9188367055353275,0.1450617283950617,-0.7737749771402658
dach1,0.78081936,0.9415126515186432,0.9537037037037037,0.012191052185060558
mical2,0.77983856,0.10153477439277314,0.20370370370370372,0.10216892931093058
ak5,0.7798064,0.24127759598101117,0.17592592592592593,-0.06535167005508524
calb1,0.7788706,0.5144029128450938,0.22530864197530864,-0.2890942708697851
pls3,0.77883804,0.09038115868553254,0.2222222222222222,0.13184106353668967
pbx1,0.77861816,0.1496520256256625,0.20370370370370372,0.05405167807804123
pla2g7,0.77809566,0.7924597870673364,0.2592592592592593,-0.5332005278080771
rprm,0.77808064,0.6695856570032723,0.43518518518518523,-0.2344004718180871
atp1b2,0.7779833,0.16822602203069548,0.16975308641975306,0.0015270643890575863
bcl11a,0.77662426,0.1613587131861548,0.2314814814814815,0.07012276829532671
btbd3,0.7764928,0.24713093976125733,0.23765432098765427,-0.009476618773603063
lgmn,0.776123,0.05959349218786003,0.16049382716049387,0.10090033497263384
mag,0.77521944,0.9657095450984007,0.23765432098765427,-0.7280552241107464
fgf12,0.7748339,0.049730377471539855,0.16975308641975306,0.12002270894821321
arhgef25,0.7748314,0.18306678342628013,0.191358024691358,0.008291241265077853
igfbp4,0.774076,0.4652716965479099,0.26543209876543206,-0.19983959778247784
pkig,0.7737747,0.04055860257178412,0.22530864197530864,0.18475003940352452
npy,0.77330726,0.49753422132091996,0.12654320987654322,-0.37099101144437674
golga7b,0.7720138,0.15979167626860857,0.15123456790123457,-0.008557108367374
nmnat2,0.77071136,0.06028483200442458,0.2006172839506173,0.1403324519461927
htra1,0.77055913,0.5701709913812969,0.18827160493827155,-0.38189938644302535
kcnh7,0.77018005,0.2349172696686178,0.2407407407407407,0.005823471072122888
ppp1r12a,0.7700702,0.02557957321288662,0.2314814814814815,0.2059019082685949
myl4,0.7697551,0.6156611513112411,0.33024691358024694,-0.28541423773099417
